,station_complex_id,location,Latitude,Longitude,Nearest_Stop,borough,routes,ridership,Connections
236,N542,"(40.66037, -73.97949)",40.66037,-73.97949,"(241, '15 St-Prospect Park')",BK,"F,G",1234131,"[(240, '7 Av'), (242, 'Fort Hamilton Pkwy')]"
237,N543,"(40.65078, -73.97578)",40.65078,-73.97578,"(242, 'Fort Hamilton Pkwy')",BK,"F,G",1183591,"[(241, '15 St-Prospect Park'), (243, 'Church Av')]"
238,N546,"(40.64404, -73.97968)",40.64404,-73.97968,"(243, 'Church Av')",BK,"F,G",2004752,"[(242, 'Fort Hamilton Pkwy'), (244, 'Ditmas Av')]"
239,N548,"(40.63612, -73.97817)",40.63612,-73.97817,"(244, 'Ditmas Av')",BK,F,776078,"[(243, 'Church Av'), (245, '18 Av')]"
240,N549,"(40.62975, -73.97697)",40.62975,-73.97697,"(245, '18 Av')",BK,F,676399,"[(244, 'Ditmas Av'), (246, 'Avenue I')]"
241,N551,"(40.62532, -73.97613)",40.62532,-73.97613,"(246, 'Avenue I')",BK,F,360432,"[(245, '18 Av'), (247, 'Bay Pkwy')]"
242,N553,"(40.62077, -73.97527)",40.62077,-73.97527,"(247, 'Bay Pkwy')",BK,F,247551,"[(246, 'Avenue I'), (248, 'Avenue N')]"
243,N555,"(40.61514, -73.9742)",40.61514,-73.9742,"(248, 'Avenue N')",BK,F,538523,"[(247, 'Bay Pkwy'), (249, 'Avenue P')]"
244,N556,"(40.60894, -73.97302)",40.60894,-73.97302,"(249, 'Avenue P')",BK,F,480632,"[(248, 'Avenue N'), (250, 'Kings Hwy')]"
245,N557,"(40.60322, -73.97236)",40.60322,-73.97236,"(250, 'Kings Hwy')",BK,F,661056,"[(249, 'Avenue P'), (251, 'Avenue U')]"
246,N559,"(40.59606, -73.97336)",40.59606,-73.97336,"(251, 'Avenue U')",BK,F,348790,"[(250, 'Kings Hwy'), (252, 'Avenue X')]"
247,N561,"(40.58962, -73.97425)",40.58962,-73.97425,"(252, 'Avenue X')",BK,F,478592,"[(251, 'Avenue U'), (253, 'Neptune Av')]"
248,N562,"(40.58101, -73.97457)",40.58101,-73.97457,"(253, 'Neptune Av')",BK,F,299143,"[(252, 'Avenue X'), (254, 'Jamaica-179 St')]"
249,N600,"(40.76397, -73.97745)",40.76397,-73.97745,"(224, '57 St')",M,F,3063595,"[(223, 'Lexington Av/63 St'), (225, '47-50 Sts-Rockefeller Ctr')]"
250,N601,"(40.76463, -73.96611)",40.76463,-73.96611,"(223, 'Lexington Av/63 St')",M,"F,Q",4144678,"[(222, 'Roosevelt Island'), (224, '57 St')]"
251,N602,"(40.75914, -73.95326)",40.75914,-73.95326,"(222, 'Roosevelt Island')",M,F,1819291,"[(221, '21 St-Queensbridge'), (223, 'Lexington Av/63 St')]"
252,N603,"(40.7542, -73.94283)",40.7542,-73.94283,"(461, 'Queensboro Plaza')",Q,F,2255469,"[(460, '33 St-Rawson St'), (606, 'Court Sq')]"
