,Daytime_Routes,Complex_ID,Complex_ID_Next,GTFS_Latitude_Next,GTFS_Longitude_Next,GTFS_Latitude,GTFS_Longitude,Stop_Name,Stop_Name_Next
114,L,123,122,40.714565,-73.944053,40.711926,-73.94067,Grand St,Graham Av
115,L,124,123,40.711926,-73.94067,40.707739,-73.93985,Montrose Av,Grand St
116,L,125,124,40.707739,-73.93985,40.706152,-73.933147,Morgan Av,Montrose Av
117,L,126,125,40.706152,-73.933147,40.706607,-73.922913,Jefferson St,Morgan Av
118,L,127,126,40.706607,-73.922913,40.703811,-73.918425,DeKalb Av,Jefferson St
119,L,630,127,40.703811,-73.918425,40.699814,-73.911586,Myrtle-Wyckoff Avs,DeKalb Av
120,L,129,630,40.699814,-73.911586,40.695602,-73.904084,Halsey St,Myrtle-Wyckoff Avs
121,L,130,129,40.695602,-73.904084,40.688764,-73.904046,Wilson Av,Halsey St
122,L,131,130,40.688764,-73.904046,40.682829,-73.905249,Bushwick Av-Aberdeen St,Wilson Av
123,L,621,131,40.682829,-73.905249,40.678856,-73.90324,Broadway Junction,Bushwick Av-Aberdeen St
124,L,133,621,40.678856,-73.90324,40.675345,-73.903097,Atlantic Av,Broadway Junction
125,L,134,133,40.675345,-73.903097,40.669367,-73.901975,Sutter Av,Atlantic Av
126,L,135,134,40.669367,-73.901975,40.664038,-73.900571,Livonia Av,Sutter Av
127,L,136,135,40.664038,-73.900571,40.658733,-73.899232,New Lots Av,Livonia Av
128,L,137,136,40.658733,-73.899232,40.650573,-73.899485,East 105 St,New Lots Av
129,L,138,137,40.650573,-73.899485,40.646654,-73.90185,Canarsie-Rockaway Pkwy,East 105 St
130,S,141,627,40.680596,-73.955827,40.674772,-73.957624,Park Pl,Franklin Av
131,S,626,141,40.674772,-73.957624,40.670343,-73.959245,Botanic Garden,Park Pl
132,A,144,143,40.868072,-73.919899,40.865491,-73.927271,Dyckman St,Inwood-207 St
133,A,145,144,40.865491,-73.927271,40.859022,-73.93418,190 St,Dyckman St
134,A,146,145,40.859022,-73.93418,40.851695,-73.937969,181 St,190 St
135,A,147,146,40.851695,-73.937969,40.847391,-73.939704,175 St,181 St
136,A C,605,147,40.847391,-73.939704,40.840719,-73.939561,168 St,175 St
137,C,149,605,40.840719,-73.939561,40.836013,-73.939892,163 St-Amsterdam Av,168 St
138,C,150,149,40.836013,-73.939892,40.830518,-73.941514,155 St,163 St-Amsterdam Av
139,A C,151,150,40.830518,-73.941514,40.824783,-73.944216,145 St,155 St
140,B C,152,151,40.824783,-73.944216,40.817894,-73.947649,135 St,145 St
141,A B C D,153,152,40.817894,-73.947649,40.811109,-73.952343,125 St,135 St
142,B C,154,153,40.811109,-73.952343,40.805085,-73.954882,116 St,125 St
143,B C,155,154,40.805085,-73.954882,40.800603,-73.958161,Cathedral Pkwy (110 St),116 St
144,B C,156,155,40.800603,-73.958161,40.796092,-73.961454,103 St,Cathedral Pkwy (110 St)
145,B C,157,156,40.796092,-73.961454,40.791642,-73.964696,96 St,103 St
146,B C,158,157,40.791642,-73.964696,40.785868,-73.968916,86 St,96 St
147,B C,159,158,40.785868,-73.968916,40.781433,-73.972143,81 St-Museum of Natural History,86 St
148,B C,160,159,40.781433,-73.972143,40.775594,-73.97641,72 St,81 St-Museum of Natural History
149,A B C D,614,160,40.775594,-73.97641,40.768296,-73.981736,59 St-Columbus Circle,72 St
150,C E,162,614,40.768296,-73.981736,40.762456,-73.985984,50 St,59 St-Columbus Circle
151,A C E,611,162,40.762456,-73.985984,40.757308,-73.989735,42 St-Port Authority Bus Terminal,50 St
152,A C E,164,611,40.757308,-73.989735,40.752287,-73.993391,34 St-Penn Station,42 St-Port Authority Bus Terminal
153,C E,165,164,40.752287,-73.993391,40.745906,-73.998041,23 St,34 St-Penn Station
154,A C E,618,165,40.745906,-73.998041,40.740893,-74.00169,14 St,23 St
155,A C E,167,618,40.740893,-74.00169,40.732338,-74.000495,W 4 St-Wash Sq,14 St
156,B D F M,167,167,40.732338,-74.000495,40.732338,-74.000495,W 4 St-Wash Sq,W 4 St-Wash Sq
157,C E,168,167,40.732338,-74.000495,40.726227,-74.003739,Spring St,W 4 St-Wash Sq
158,A C E,169,168,40.726227,-74.003739,40.720824,-74.005229,Canal St,Spring St
159,A C,624,169,40.720824,-74.005229,40.714111,-74.008585,Chambers St,Canal St
160,E,624,169,40.720824,-74.005229,40.712582,-74.009781,World Trade Center,Canal St
161,A C,628,624,40.714111,-74.008585,40.710197,-74.007691,Fulton St,Chambers St
162,A C,173,628,40.710197,-74.007691,40.699337,-73.990531,High St,Fulton St
163,A C F,636,173,40.699337,-73.990531,40.692338,-73.987342,Jay St-MetroTech,High St
164,A C G,175,636,40.692338,-73.987342,40.688484,-73.985001,Hoyt-Schermerhorn Sts,Jay St-MetroTech
165,C,176,175,40.688484,-73.985001,40.686113,-73.973946,Lafayette Av,Hoyt-Schermerhorn Sts
166,C,177,176,40.686113,-73.973946,40.683263,-73.965838,Clinton-Washington Avs,Lafayette Av
