,station_complex_id,borough,routes,latitude,longitude,date,ridership
4005,R312,BX,"2,5",40.81649017333984,-73.90780639648438,2022-12-31,80167
4006,R312,BX,"2,5",40.81649017333984,-73.90780639648438,2023-01-31,81086
4007,R314,BX,"2,5",40.819583892822266,-73.90177154541016,2022-02-28,93212
4008,R314,BX,"2,5",40.819583892822266,-73.90177154541016,2022-03-31,122360
4009,R314,BX,"2,5",40.819583892822266,-73.90177154541016,2022-04-30,111107
4010,R314,BX,"2,5",40.819583892822266,-73.90177154541016,2022-05-31,116599
4011,R314,BX,"2,5",40.819583892822266,-73.90177154541016,2022-06-30,110346
4012,R314,BX,"2,5",40.819583892822266,-73.90177154541016,2022-07-31,95544
4013,R314,BX,"2,5",40.819583892822266,-73.90177154541016,2022-08-31,97133
4014,R314,BX,"2,5",40.819583892822266,-73.90177154541016,2022-09-30,87570
4015,R314,BX,"2,5",40.819583892822266,-73.90177154541016,2022-10-31,100269
4016,R314,BX,"2,5",40.819583892822266,-73.90177154541016,2022-11-30,107142
4017,R314,BX,"2,5",40.819583892822266,-73.90177154541016,2022-12-31,104537
4018,R314,BX,"2,5",40.819583892822266,-73.90177154541016,2023-01-31,107573
4019,R316,BX,"2,5",40.82218170166016,-73.89673614501953,2022-02-28,44479
4020,R316,BX,"2,5",40.82218170166016,-73.89673614501953,2022-03-31,57627
4021,R316,BX,"2,5",40.82218170166016,-73.89673614501953,2022-04-30,49914
4022,R316,BX,"2,5",40.82218170166016,-73.89673614501953,2022-05-31,53357
4023,R316,BX,"2,5",40.82218170166016,-73.89673614501953,2022-06-30,50984
4024,R316,BX,"2,5",40.82218170166016,-73.89673614501953,2022-07-31,44333
4025,R316,BX,"2,5",40.82218170166016,-73.89673614501953,2022-08-31,44787
4026,R316,BX,"2,5",40.82218170166016,-73.89673614501953,2022-09-30,44442
4027,R316,BX,"2,5",40.82218170166016,-73.89673614501953,2022-10-31,48649
4028,R316,BX,"2,5",40.82218170166016,-73.89673614501953,2022-11-30,51047
4029,R316,BX,"2,5",40.82218170166016,-73.89673614501953,2022-12-31,51506
4030,R316,BX,"2,5",40.82218170166016,-73.89673614501953,2023-01-31,50147
4031,R318,BX,"2,5",40.82407379150391,-73.89306640625,2022-02-28,109719
4032,R318,BX,"2,5",40.82407379150391,-73.89306640625,2022-03-31,143404
4033,R318,BX,"2,5",40.82407379150391,-73.89306640625,2022-04-30,130831
4034,R318,BX,"2,5",40.82407379150391,-73.89306640625,2022-05-31,134609
4035,R318,BX,"2,5",40.82407379150391,-73.89306640625,2022-06-30,130211
4036,R318,BX,"2,5",40.82407379150391,-73.89306640625,2022-07-31,112970
4037,R318,BX,"2,5",40.82407379150391,-73.89306640625,2022-08-31,111586
4038,R318,BX,"2,5",40.82407379150391,-73.89306640625,2022-09-30,97801
4039,R318,BX,"2,5",40.82407379150391,-73.89306640625,2022-10-31,109419
4040,R318,BX,"2,5",40.82407379150391,-73.89306640625,2022-11-30,117069
4041,R318,BX,"2,5",40.82407379150391,-73.89306640625,2022-12-31,117234
4042,R318,BX,"2,5",40.82407379150391,-73.89306640625,2023-01-31,115944
4043,R320,BX,"2,5",40.82999420166016,-73.8918685913086,2022-02-28,61433
4044,R320,BX,"2,5",40.82999420166016,-73.8918685913086,2022-03-31,81629
4045,R320,BX,"2,5",40.82999420166016,-73.8918685913086,2022-04-30,75241
4046,R320,BX,"2,5",40.82999420166016,-73.8918685913086,2022-05-31,77724
4047,R320,BX,"2,5",40.82999420166016,-73.8918685913086,2022-06-30,74089
4048,R320,BX,"2,5",40.82999420166016,-73.8918685913086,2022-07-31,65188
4049,R320,BX,"2,5",40.82999420166016,-73.8918685913086,2022-08-31,65287
4050,R320,BX,"2,5",40.82999420166016,-73.8918685913086,2022-09-30,60264
4051,R320,BX,"2,5",40.82999420166016,-73.8918685913086,2022-10-31,66612
4052,R320,BX,"2,5",40.82999420166016,-73.8918685913086,2022-11-30,70355
4053,R320,BX,"2,5",40.82999420166016,-73.8918685913086,2022-12-31,69525
4054,R320,BX,"2,5",40.82999420166016,-73.8918685913086,2023-01-31,71045
4055,R322,BX,"2,5",40.83728790283203,-73.88773345947266,2022-02-28,83754
4056,R322,BX,"2,5",40.83728790283203,-73.88773345947266,2022-03-31,109116
4057,R322,BX,"2,5",40.83728790283203,-73.88773345947266,2022-04-30,97487
4058,R322,BX,"2,5",40.83728790283203,-73.88773345947266,2022-05-31,103100
4059,R322,BX,"2,5",40.83728790283203,-73.88773345947266,2022-06-30,98898
4060,R322,BX,"2,5",40.83728790283203,-73.88773345947266,2022-07-31,88406
4061,R322,BX,"2,5",40.83728790283203,-73.88773345947266,2022-08-31,92102
4062,R322,BX,"2,5",40.83728790283203,-73.88773345947266,2022-09-30,87888
4063,R322,BX,"2,5",40.83728790283203,-73.88773345947266,2022-10-31,95139
4064,R322,BX,"2,5",40.83728790283203,-73.88773345947266,2022-11-30,97352
4065,R322,BX,"2,5",40.83728790283203,-73.88773345947266,2022-12-31,96345
4066,R322,BX,"2,5",40.83728790283203,-73.88773345947266,2023-01-31,97463
4067,R323,BX,"2,5",40.840293884277344,-73.88005065917969,2022-02-28,84766
4068,R323,BX,"2,5",40.840293884277344,-73.88005065917969,2022-03-31,109825
4069,R323,BX,"2,5",40.840293884277344,-73.88005065917969,2022-04-30,101703
4070,R323,BX,"2,5",40.840293884277344,-73.88005065917969,2022-05-31,106741
4071,R323,BX,"2,5",40.840293884277344,-73.88005065917969,2022-06-30,102889
4072,R323,BX,"2,5",40.840293884277344,-73.88005065917969,2022-07-31,86452
4073,R323,BX,"2,5",40.840293884277344,-73.88005065917969,2022-08-31,86371
4074,R323,BX,"2,5",40.840293884277344,-73.88005065917969,2022-09-30,84984
4075,R323,BX,"2,5",40.840293884277344,-73.88005065917969,2022-10-31,87976
4076,R323,BX,"2,5",40.840293884277344,-73.88005065917969,2022-11-30,87321
4077,R323,BX,"2,5",40.840293884277344,-73.88005065917969,2022-12-31,85085
4078,R323,BX,"2,5",40.840293884277344,-73.88005065917969,2023-01-31,84133
4079,R325,BX,"2,5",40.84189224243164,-73.87348937988281,2022-02-28,99105
4080,R325,BX,"2,5",40.84189224243164,-73.87348937988281,2022-03-31,128646
4081,R325,BX,"2,5",40.84189224243164,-73.87348937988281,2022-04-30,120557
4082,R325,BX,"2,5",40.84189224243164,-73.87348937988281,2022-05-31,122480
4083,R325,BX,"2,5",40.84189224243164,-73.87348937988281,2022-06-30,120144
4084,R325,BX,"2,5",40.84189224243164,-73.87348937988281,2022-07-31,116312
4085,R325,BX,"2,5",40.84189224243164,-73.87348937988281,2022-08-31,123162
4086,R325,BX,"2,5",40.84189224243164,-73.87348937988281,2022-09-30,131566
4087,R325,BX,"2,5",40.84189224243164,-73.87348937988281,2022-10-31,137378
4088,R325,BX,"2,5",40.84189224243164,-73.87348937988281,2022-11-30,133126
4089,R325,BX,"2,5",40.84189224243164,-73.87348937988281,2022-12-31,128792
4090,R325,BX,"2,5",40.84189224243164,-73.87348937988281,2023-01-31,132583
4091,R326,BX,"2,5",40.84882736206055,-73.86845397949219,2022-02-28,34259
4092,R326,BX,"2,5",40.84882736206055,-73.86845397949219,2022-03-31,45190
4093,R326,BX,"2,5",40.84882736206055,-73.86845397949219,2022-04-30,39374
4094,R326,BX,"2,5",40.84882736206055,-73.86845397949219,2022-05-31,41161
4095,R326,BX,"2,5",40.84882736206055,-73.86845397949219,2022-06-30,40772
4096,R326,BX,"2,5",40.84882736206055,-73.86845397949219,2022-07-31,35671
4097,R326,BX,"2,5",40.84882736206055,-73.86845397949219,2022-08-31,37383
4098,R326,BX,"2,5",40.84882736206055,-73.86845397949219,2022-09-30,39972
4099,R326,BX,"2,5",40.84882736206055,-73.86845397949219,2022-10-31,41129
4100,R326,BX,"2,5",40.84882736206055,-73.86845397949219,2022-11-30,37244
4101,R326,BX,"2,5",40.84882736206055,-73.86845397949219,2022-12-31,38323
4102,R326,BX,"2,5",40.84882736206055,-73.86845397949219,2023-01-31,38278
4103,R328,BX,"2,5",40.85719299316406,-73.86761474609375,2022-02-28,110104
4104,R328,BX,"2,5",40.85719299316406,-73.86761474609375,2022-03-31,140614
4105,R328,BX,"2,5",40.85719299316406,-73.86761474609375,2022-04-30,122613
4106,R328,BX,"2,5",40.85719299316406,-73.86761474609375,2022-05-31,123548
4107,R328,BX,"2,5",40.85719299316406,-73.86761474609375,2022-06-30,121276
4108,R328,BX,"2,5",40.85719299316406,-73.86761474609375,2022-07-31,113363
4109,R328,BX,"2,5",40.85719299316406,-73.86761474609375,2022-08-31,116033
4110,R328,BX,"2,5",40.85719299316406,-73.86761474609375,2022-09-30,120266
4111,R328,BX,"2,5",40.85719299316406,-73.86761474609375,2022-10-31,123744
4112,R328,BX,"2,5",40.85719299316406,-73.86761474609375,2022-11-30,116751
4113,R328,BX,"2,5",40.85719299316406,-73.86761474609375,2022-12-31,115609
4114,R328,BX,"2,5",40.85719299316406,-73.86761474609375,2023-01-31,110743
4115,R329,BX,"2,5",40.86546325683594,-73.86735534667969,2022-02-28,67475
4116,R329,BX,"2,5",40.86546325683594,-73.86735534667969,2022-03-31,83512
4117,R329,BX,"2,5",40.86546325683594,-73.86735534667969,2022-04-30,75881
4118,R329,BX,"2,5",40.86546325683594,-73.86735534667969,2022-05-31,77619
4119,R329,BX,"2,5",40.86546325683594,-73.86735534667969,2022-06-30,76824
4120,R329,BX,"2,5",40.86546325683594,-73.86735534667969,2022-07-31,68922
4121,R329,BX,"2,5",40.86546325683594,-73.86735534667969,2022-08-31,72322
4122,R329,BX,"2,5",40.86546325683594,-73.86735534667969,2022-09-30,75909
4123,R329,BX,"2,5",40.86546325683594,-73.86735534667969,2022-10-31,78703
4124,R329,BX,"2,5",40.86546325683594,-73.86735534667969,2022-11-30,74098
4125,R329,BX,"2,5",40.86546325683594,-73.86735534667969,2022-12-31,75399
