,from,to,total_ridership,distance
225,"(238, 'Smith-9 Sts')","(237, 'Carroll St')",2757051.9692870174,751.5016563700983
226,"(608, '4 Av-9 St')","(238, 'Smith-9 Sts')",2684838.8998000287,637.9257262976349
227,"(240, '7 Av')","(608, '4 Av-9 St')",5802430.397970079,914.5508255443913
228,"(241, '15 St-Prospect Park')","(240, '7 Av')",4595036.1449116,660.2799345685752
229,"(242, 'Fort Hamilton Pkwy')","(241, '15 St-Prospect Park')",3996700.7772539095,1110.7577139390407
230,"(243, 'Church Av')","(242, 'Fort Hamilton Pkwy')",3419322.485324231,818.6713264996215
231,"(244, 'Ditmas Av')","(243, 'Church Av')",2408097.768181897,890.0054682970716
232,"(245, '18 Av')","(244, 'Ditmas Av')",2028191.6868263285,714.8659884160988
233,"(246, 'Avenue I')","(245, '18 Av')",1696543.0722815634,498.04731106103503
234,"(247, 'Bay Pkwy')","(246, 'Avenue I')",1520410.4624029016,511.4836749802157
235,"(248, 'Avenue N')","(247, 'Bay Pkwy')",1398359.3506666413,632.3630021724553
236,"(249, 'Avenue P')","(248, 'Avenue N')",1132868.7262519908,696.0674339148037
237,"(250, 'Kings Hwy')","(249, 'Avenue P')",895334.9880165852,639.2543659647648
238,"(251, 'Avenue U')","(250, 'Kings Hwy')",564734.1842596288,799.9217676771336
239,"(252, 'Avenue X')","(251, 'Avenue U')",390560.89805942954,720.3868437128057
240,"(253, 'Neptune Av')","(252, 'Avenue X')",150774.0753407228,957.6693666846033
242,"(256, 'Parsons Blvd')","(255, '169 St')",52498.947021318134,880.870043534142
243,"(257, 'Sutphin Blvd')","(256, 'Parsons Blvd')",94012.18740912912,664.7758396850808
244,"(258, 'Briarwood')","(257, 'Sutphin Blvd')",115441.40872830937,928.7643606567015
245,"(259, 'Kew Gardens-Union Tpke')","(258, 'Briarwood')",137623.56152233595,1056.2974676923513
246,"(260, '75 Av')","(259, 'Kew Gardens-Union Tpke')",221272.74766386874,685.897623218945
247,"(261, 'Forest Hills-71 Av')","(260, '75 Av')",227122.15522220352,712.3678191666223
248,"(262, '67 Av')","(261, 'Forest Hills-71 Av')",254904.500246286,875.1892814683505
249,"(263, '63 Dr-Rego Park')","(262, '67 Av')",251462.72563174152,834.9110065328823
250,"(264, 'Woodhaven Blvd')","(263, '63 Dr-Rego Park')",229362.04754853036,737.6967566060124
251,"(265, 'Grand Av-Newtown')","(264, 'Woodhaven Blvd')",168478.54383868902,801.6200311529147
252,"(266, 'Elmhurst Av')","(265, 'Grand Av-Newtown')",79459.40366562495,727.2576617872193
255,"(269, 'Northern Blvd')","(268, '65 St')",9375.015413811978,729.8447679657575
256,"(270, '46 St')","(269, 'Northern Blvd')",21886.285781440394,725.3303828503597
257,"(271, 'Steinway St')","(270, '46 St')",30387.434941791485,627.0628551726528
258,"(272, '36 St')","(271, 'Steinway St')",29728.32534842079,865.094655333143
259,"(273, 'Queens Plaza')","(272, '36 St')",25117.24115754079,790.1459477464524
262,"(276, '5 Av/53 St')","(612, 'Lexington Av/53 St')",58587.347070608754,595.4207840143795
263,"(277, '7 Av')","(276, '5 Av/53 St')",39405.898643842316,617.6842363690348
265,"(280, 'Jamaica-Van Wyck')","(279, 'Sutphin Blvd-Archer Av-JFK Airport')",4085.382237289871,784.2952066895095
266,"(282, '21 St')","(606, 'Court Sq')",2312472.0164245907,568.3081956328945
267,"(283, 'Greenpoint Av')","(282, '21 St')",2127145.881373047,1468.608308717406
268,"(284, 'Nassau Av')","(283, 'Greenpoint Av')",1036671.8708686586,793.2839792654939
271,"(287, 'Flushing Av')","(286, 'Broadway')",12117.256408411791,635.5104991129473
272,"(288, 'Myrtle-Willoughby Avs')","(287, 'Flushing Av')",18358.004658796264,653.6505868570199
273,"(289, 'Bedford-Nostrand Avs')","(288, 'Myrtle-Willoughby Avs')",25201.303691990426,666.5348814096013
274,"(290, 'Classon Av')","(289, 'Bedford-Nostrand Avs')",27226.77631110098,558.420578209942
275,"(291, 'Clinton-Washington Avs')","(290, 'Classon Av')",22953.81335638037,577.3504200218981
276,"(292, 'Fulton St')","(291, 'Clinton-Washington Avs')",14740.038249453599,727.7626959406261
278,"(295, '231 St')","(294, '238 St')",14214.281467629253,727.0313672949721
279,"(296, 'Marble Hill-225 St')","(295, '231 St')",32971.544082269334,636.0786115057963
280,"(297, '215 St')","(296, 'Marble Hill-225 St')",39890.23396343661,730.4683918398047
281,"(298, '207 St')","(297, '215 St')",41827.95555502234,613.4916007776085
282,"(299, 'Dyckman St')","(298, '207 St')",43121.35457183109,724.9956471246334
283,"(300, '191 St')","(299, 'Dyckman St')",37637.73432184846,674.0626929825034
284,"(301, '181 St')","(300, '191 St')",25084.035311195734,726.8974070648695
287,"(304, '145 St')","(303, '157 St')",233636.85035736184,951.5490332387266
288,"(305, '137 St-City College')","(304, '145 St')",434709.2201963091,577.0941222941929
289,"(306, '125 St')","(305, '137 St-City College')",677459.4261235059,816.6301922844809
290,"(307, '116 St-Columbia University')","(306, '125 St')",830179.7965609959,998.4330335320735
291,"(308, 'Cathedral Pkwy (110 St)')","(307, '116 St-Columbia University')",1078549.584856545,476.8703123853598
292,"(309, '103 St')","(308, 'Cathedral Pkwy (110 St)')",1278198.6207877668,518.9882399168613
293,"(310, '96 St')","(309, '103 St')",1456861.0375401673,698.5171803279417
294,"(311, '86 St')","(310, '96 St')",1969036.6326507377,671.985788956907
295,"(312, '79 St')","(311, '86 St')",2159296.6089135245,609.3250695267213
296,"(313, '72 St')","(312, '79 St')",2292041.576386781,633.4996569679552
297,"(314, '66 St-Lincoln Center')","(313, '72 St')",2576505.9873530045,557.7841096844361
298,"(614, '59 St-Columbus Circle')","(314, '66 St-Lincoln Center')",2651125.126229025,577.9172673753109
299,"(316, '50 St')","(614, '59 St-Columbus Circle')",540409.346851005,742.6969844142345
302,"(319, '28 St')","(318, '34 St-Penn Station')",7534405.495992206,401.3847796333704
303,"(320, '23 St')","(319, '28 St')",8881557.16624458,398.40164668474546
304,"(321, '18 St')","(320, '23 St')",10294794.783489933,386.1764354992907
305,"(601, '14 St')","(321, '18 St')",11051804.368254984,407.7458165502577
306,"(323, 'Christopher St-Sheridan Sq')","(601, '14 St')",7303427.362610156,540.1415534463065
307,"(324, 'Houston St')","(323, 'Christopher St-Sheridan Sq')",6072395.407350891,611.24038004001
308,"(325, 'Canal St')","(324, 'Houston St')",4851620.064764672,604.9994330063082
309,"(326, 'Franklin St')","(325, 'Canal St')",4354889.683607855,396.52127326158404
310,"(327, 'Chambers St')","(326, 'Franklin St')",3799355.294010812,471.7557034027987
311,"(328, 'WTC Cortlandt')","(327, 'Chambers St')",2043986.3705617718,474.0726500909013
312,"(329, 'Rector St')","(328, 'WTC Cortlandt')",756534.373118321,499.03532658589586
315,"(333, 'Wall St')","(628, 'Fulton St')",5372551.587554991,358.7528207899539
316,"(334, 'Clark St')","(333, 'Wall St')",3743949.660880461,1704.2425250877345
317,"(620, 'Borough Hall')","(334, 'Clark St')",3537077.767613448,539.2515766292123
318,"(336, 'Hoyt St')","(620, 'Borough Hall')",2331691.824018955,511.259967913517
319,"(337, 'Nevins St')","(336, 'Hoyt St')",2221262.7151798103,462.6164178081741
320,"(617, 'Atlantic Av-Barclays Ctr')","(337, 'Nevins St')",2587747.2459072154,493.5472265233656
321,"(339, 'Bergen St')","(617, 'Atlantic Av-Barclays Ctr')",9133715.91060644,448.28662334087363
322,"(340, 'Grand Army Plaza')","(339, 'Bergen St')",8765155.062866934,709.6999341520674
323,"(341, 'Eastern Pkwy-Brooklyn Museum')","(340, 'Grand Army Plaza')",8092120.590573623,668.5424981408626
324,"(626, 'Franklin Av-Medgar Evers College')","(341, 'Eastern Pkwy-Brooklyn Museum')",7652454.1252393415,546.2280515049149
325,"(343, 'Nostrand Av')","(626, 'Franklin Av-Medgar Evers College')",6187039.809225466,653.087723791462
326,"(344, 'Kingston Av')","(343, 'Nostrand Av')",5827592.554148646,702.2065977825397
327,"(345, 'Crown Hts-Utica Av')","(344, 'Kingston Av')",5384730.2059306875,779.5301115170307
328,"(346, 'Sutter Av-Rutland Rd')","(345, 'Crown Hts-Utica Av')",2848267.9907944845,987.6359303491531
329,"(347, 'Saratoga Av')","(346, 'Sutter Av-Rutland Rd')",2247322.7451238525,642.32289534549
330,"(348, 'Rockaway Av')","(347, 'Saratoga Av')",1786439.8333568086,634.3949528927193
331,"(349, 'Junius St')","(348, 'Rockaway Av')",1377318.182028717,558.5996557647516
332,"(350, 'Pennsylvania Av')","(349, 'Junius St')",1152280.4251212822,649.0432075868422
333,"(351, 'Van Siclen Av')","(350, 'Pennsylvania Av')",750333.4903426121,472.64535018781106
334,"(352, 'New Lots Av')","(351, 'Van Siclen Av')",511556.746762962,456.8115896656014
336,"(355, 'Winthrop St')","(354, 'Sterling St')",14834.695711346652,679.3940524523354
337,"(356, 'Church Av')","(355, 'Winthrop St')",27924.944980792076,648.0804847510723
338,"(357, 'Beverly Rd')","(356, 'Church Av')",34907.96030778137,640.9262114087891
339,"(358, 'Newkirk Av-Little Haiti')","(357, 'Beverly Rd')",34184.25630572141,572.4123988717901
340,"(359, 'Flatbush Av-Brooklyn College')","(358, 'Newkirk Av-Little Haiti')",28714.057879299606,795.5827722592364
342,"(362, 'Middletown Rd')","(361, 'Buhre Av')",21556.651313578186,455.01859827686684
343,"(363, 'Westchester Sq-E Tremont Av')","(362, 'Middletown Rd')",32949.59832113012,711.3546773898296
344,"(364, 'Zerega Av')","(363, 'Westchester Sq-E Tremont Av')",56563.417181431025,511.1831271151044
345,"(365, 'Castle Hill Av')","(364, 'Zerega Av')",67373.21690316609,430.8972411683655
346,"(366, 'Parkchester')","(365, 'Castle Hill Av')",87191.22722415191,815.2254726606571
347,"(367, 'St Lawrence Av')","(366, 'Parkchester')",112967.61444284586,603.280795551902
348,"(368, 'Morrison Av-Soundview')","(367, 'St Lawrence Av')",118006.57498633348,621.0398525994884
